Day,Social distancing: (New York NY),Quarantine: (New York NY),Mask: (New York NY),Symptom: (New York NY),Herd immunity: (New York NY)
1/1/2020,0,<1,4,12,0
2/1/2020,0,<1,5,13,0
3/1/2020,0,<1,5,16,<1
4/1/2020,0,<1,5,14,0
5/1/2020,0,<1,5,13,0
6/1/2020,0,<1,4,14,0
7/1/2020,0,<1,5,16,0
8/1/2020,0,<1,4,15,0
9/1/2020,0,<1,5,15,<1
10/1/2020,0,<1,6,16,0
11/1/2020,0,<1,6,12,0
12/1/2020,0,<1,5,13,0
13/1/2020,0,<1,5,15,<1
14/1/2020,0,0,4,14,<1
15/1/2020,0,<1,5,14,0
16/1/2020,0,<1,5,14,<1
17/1/2020,0,<1,5,14,0
18/1/2020,0,<1,5,13,<1
19/1/2020,0,<1,4,13,0
20/1/2020,0,<1,5,14,<1
21/1/2020,0,<1,5,17,0
22/1/2020,0,1,7,17,0
23/1/2020,0,1,7,15,0
24/1/2020,0,1,7,20,0
25/1/2020,0,<1,11,21,0
26/1/2020,0,<1,13,19,0
27/1/2020,0,<1,16,22,0
28/1/2020,0,<1,19,25,0
29/1/2020,0,1,16,24,0
30/1/2020,0,1,15,24,0
31/1/2020,0,1,16,24,0
1/2/2020,0,1,14,23,0
2/2/2020,0,1,14,22,0
3/2/2020,0,1,12,18,0
4/2/2020,0,1,10,19,0
5/2/2020,0,1,9,18,<1
6/2/2020,0,1,9,18,0
7/2/2020,0,2,10,19,0
8/2/2020,0,1,9,19,<1
9/2/2020,0,1,10,19,0
10/2/2020,0,1,8,18,0
11/2/2020,0,1,8,18,0
12/2/2020,0,1,6,15,0
13/2/2020,0,1,8,17,0
14/2/2020,0,1,8,14,0
15/2/2020,0,<1,8,16,0
16/2/2020,0,<1,7,16,<1
17/2/2020,0,<1,7,15,0
18/2/2020,0,<1,7,15,<1
19/2/2020,<1,1,6,16,<1
20/2/2020,0,1,6,14,0
21/2/2020,0,<1,7,15,<1
22/2/2020,0,<1,9,18,0
23/2/2020,0,1,10,16,<1
24/2/2020,<1,1,11,19,0
25/2/2020,0,1,20,22,0
26/2/2020,0,2,39,24,<1
27/2/2020,<1,2,37,30,<1
28/2/2020,0,2,32,25,0
29/2/2020,<1,1,26,26,0
1/3/2020,0,1,21,23,0
2/3/2020,0,2,26,36,<1
3/3/2020,0,3,21,38,0
4/3/2020,0,4,19,40,0
5/3/2020,<1,5,19,45,<1
6/3/2020,<1,5,17,38,0
7/3/2020,<1,5,17,42,<1
8/3/2020,<1,7,16,44,<1
9/3/2020,<1,8,17,52,<1
10/3/2020,<1,11,16,60,<1
11/3/2020,1,10,16,61,<1
12/3/2020,2,20,24,100,<1
13/3/2020,2,17,23,74,<1
14/3/2020,3,14,23,71,1
15/3/2020,4,21,22,78,1
16/3/2020,4,30,22,85,1
17/3/2020,3,22,23,76,1
18/3/2020,3,19,26,63,<1
19/3/2020,3,18,28,62,<1
20/3/2020,4,26,39,67,<1
21/3/2020,3,20,44,57,<1
22/3/2020,4,24,47,64,1
23/3/2020,3,19,40,55,<1
24/3/2020,3,17,33,56,<1
25/3/2020,3,14,35,57,<1
26/3/2020,3,14,37,52,<1
27/3/2020,2,11,35,46,<1
28/3/2020,3,40,44,52,<1
29/3/2020,4,25,47,47,<1
30/3/2020,5,15,42,46,<1
31/3/2020,4,14,53,43,<1
1/4/2020,4,13,58,42,<1
2/4/2020,3,11,62,40,<1
3/4/2020,3,11,91,34,<1
4/4/2020,3,12,92,34,<1
5/4/2020,2,14,78,37,<1
6/4/2020,3,13,54,35,<1
7/4/2020,3,11,47,32,<1
8/4/2020,3,13,46,30,<1
9/4/2020,3,11,49,27,1
10/4/2020,2,11,46,27,1
11/4/2020,3,11,51,28,1
12/4/2020,2,12,39,26,1
13/4/2020,3,13,40,24,<1
14/4/2020,3,12,40,23,1
15/4/2020,4,13,55,22,<1
16/4/2020,3,14,71,20,1
17/4/2020,2,10,56,23,<1
18/4/2020,2,13,61,21,1
19/4/2020,3,13,58,21,1
20/4/2020,2,12,43,20,1
21/4/2020,2,10,42,20,1
22/4/2020,2,11,40,21,1
23/4/2020,1,10,41,22,1
24/4/2020,2,10,34,18,1
25/4/2020,1,11,45,18,1
26/4/2020,2,12,41,20,1
27/4/2020,3,12,36,19,1
28/4/2020,2,10,36,20,1
29/4/2020,2,10,39,20,1
30/4/2020,2,11,39,17,<1
1/5/2020,2,9,33,19,1
2/5/2020,2,10,39,16,1
3/5/2020,3,10,43,18,<1
4/5/2020,3,9,34,17,<1
5/5/2020,2,8,35,16,<1
6/5/2020,2,10,36,17,<1
7/5/2020,2,11,35,17,<1
8/5/2020,2,8,31,18,<1
9/5/2020,2,11,38,18,<1
