Day,Travel: (State of Rio de Janeiro),Holiday: (State of Rio de Janeiro),Flight: (State of Rio de Janeiro)
1/1/2020,1,27,22
2/1/2020,1,34,27
3/1/2020,2,24,21
4/1/2020,2,13,22
5/1/2020,1,19,29
6/1/2020,1,27,24
7/1/2020,1,24,16
8/1/2020,1,19,19
9/1/2020,2,21,22
10/1/2020,2,20,18
11/1/2020,1,11,19
12/1/2020,1,19,24
13/1/2020,1,23,19
14/1/2020,1,27,15
15/1/2020,1,43,17
16/1/2020,2,45,18
17/1/2020,1,52,19
18/1/2020,2,37,21
19/1/2020,2,59,28
20/1/2020,1,100,20
21/1/2020,2,15,17
22/1/2020,2,13,16
23/1/2020,1,10,14
24/1/2020,1,7,16
25/1/2020,1,9,18
26/1/2020,1,6,19
27/1/2020,2,10,16
28/1/2020,1,10,15
29/1/2020,1,8,16
30/1/2020,2,9,14
31/1/2020,1,10,14
1/2/2020,1,7,16
2/2/2020,1,15,17
3/2/2020,2,10,14
4/2/2020,1,10,15
5/2/2020,2,11,13
6/2/2020,1,9,13
7/2/2020,2,9,15
8/2/2020,1,6,16
9/2/2020,1,7,18
10/2/2020,1,10,14
11/2/2020,2,8,12
12/2/2020,1,9,11
13/2/2020,1,10,11
14/2/2020,1,11,10
15/2/2020,1,9,13
16/2/2020,2,7,11
17/2/2020,1,16,12
18/2/2020,1,14,11
19/2/2020,1,16,10
20/2/2020,2,15,9
21/2/2020,2,18,12
22/2/2020,1,13,10
23/2/2020,1,14,13
24/2/2020,1,32,11
25/2/2020,1,33,12
26/2/2020,1,28,14
27/2/2020,2,15,11
28/2/2020,2,15,14
29/2/2020,1,9,12
1/3/2020,1,14,13
2/3/2020,1,20,11
3/3/2020,2,12,11
4/3/2020,2,11,9
5/3/2020,3,11,11
6/3/2020,2,12,10
7/3/2020,1,9,12
8/3/2020,1,14,15
9/3/2020,2,15,9
10/3/2020,1,15,11
11/3/2020,1,11,10
12/3/2020,2,11,16
13/3/2020,1,18,14
14/3/2020,2,11,18
15/3/2020,3,7,18
16/3/2020,2,9,15
17/3/2020,1,6,23
18/3/2020,1,6,21
19/3/2020,1,5,19
20/3/2020,1,5,18
21/3/2020,1,3,11
22/3/2020,1,3,9
23/3/2020,1,5,10
24/3/2020,1,4,9
25/3/2020,1,5,8
26/3/2020,1,5,6
27/3/2020,1,5,6
28/3/2020,1,3,8
29/3/2020,1,5,9
30/3/2020,1,11,7
31/3/2020,1,7,9
1/4/2020,1,9,7
2/4/2020,<1,10,10
3/4/2020,<1,9,10
4/4/2020,1,4,7
5/4/2020,1,6,7
6/4/2020,1,16,9
7/4/2020,<1,10,9
8/4/2020,1,16,17
9/4/2020,<1,27,9
10/4/2020,2,32,12
11/4/2020,1,9,9
12/4/2020,1,9,7
13/4/2020,1,17,9
14/4/2020,1,12,9
15/4/2020,1,13,12
16/4/2020,1,16,10
17/4/2020,1,22,7
18/4/2020,2,15,8
19/4/2020,1,22,8
20/4/2020,1,67,8
21/4/2020,1,80,10
22/4/2020,1,74,9
23/4/2020,<1,84,7
24/4/2020,1,8,6
25/4/2020,1,7,7
26/4/2020,1,5,36
27/4/2020,1,9,9
28/4/2020,2,9,8
29/4/2020,1,10,8
30/4/2020,1,20,7
1/5/2020,1,27,8
2/5/2020,<1,4,8
3/5/2020,1,4,8
4/5/2020,1,10,8
5/5/2020,1,6,9
6/5/2020,1,5,5
7/5/2020,2,4,7
8/5/2020,1,6,6
9/5/2020,1,4,6
10/5/2020,<1,5,10
11/5/2020,1,7,6
