Week,Travel: (New York NY),Holiday: (New York NY),Flight: (New York NY)
12/5/2019,23,6,48
19/5/2019,23,8,50
26/5/2019,23,8,51
2/6/2019,26,11,50
9/6/2019,26,7,51
16/6/2019,28,6,55
23/6/2019,26,5,55
30/6/2019,24,9,56
7/7/2019,27,6,58
14/7/2019,27,6,54
21/7/2019,26,5,56
28/7/2019,26,6,55
4/8/2019,26,8,58
11/8/2019,27,9,54
18/8/2019,27,7,57
25/8/2019,23,9,52
1/9/2019,23,10,50
8/9/2019,21,8,49
15/9/2019,24,8,47
22/9/2019,22,12,47
29/9/2019,23,16,48
6/10/2019,22,17,48
13/10/2019,21,16,50
20/10/2019,22,12,45
27/10/2019,20,13,47
3/11/2019,22,19,46
10/11/2019,22,20,47
17/11/2019,22,18,48
24/11/2019,21,25,51
1/12/2019,23,25,55
8/12/2019,23,27,46
15/12/2019,23,32,53
22/12/2019,23,100,56
29/12/2019,25,17,56
5/1/2020,28,11,62
12/1/2020,27,11,62
19/1/2020,27,12,58
26/1/2020,26,7,54
2/2/2020,25,7,53
9/2/2020,26,11,55
16/2/2020,27,11,53
23/2/2020,32,7,52
1/3/2020,35,7,53
8/3/2020,51,7,87
15/3/2020,31,6,53
22/3/2020,19,4,29
29/3/2020,20,5,22
5/4/2020,17,10,21
12/4/2020,17,7,21
19/4/2020,17,5,20
26/4/2020,16,6,26
3/5/2020,19,6,25
10/5/2020,19,6,26
