Week,Unemployment: (San Francisco-Oakland-San Jose CA),Stock market: (San Francisco-Oakland-San Jose CA)
12/5/2019,5,9
19/5/2019,4,6
26/5/2019,4,6
2/6/2019,4,6
9/6/2019,3,5
16/6/2019,5,5
23/6/2019,4,5
30/6/2019,4,5
7/7/2019,5,4
14/7/2019,4,5
21/7/2019,4,4
28/7/2019,4,5
4/8/2019,4,10
11/8/2019,4,11
18/8/2019,3,8
25/8/2019,4,7
1/9/2019,4,6
8/9/2019,4,5
15/9/2019,4,5
22/9/2019,3,6
29/9/2019,4,5
6/10/2019,4,6
13/10/2019,4,4
20/10/2019,5,4
27/10/2019,5,4
3/11/2019,5,5
10/11/2019,4,6
17/11/2019,4,4
24/11/2019,3,6
1/12/2019,4,5
8/12/2019,4,4
15/12/2019,4,6
22/12/2019,3,6
29/12/2019,4,7
5/1/2020,5,6
12/1/2020,6,5
19/1/2020,4,7
26/1/2020,4,8
2/2/2020,5,9
9/2/2020,4,7
16/2/2020,5,8
23/2/2020,5,33
1/3/2020,5,25
8/3/2020,8,57
15/3/2020,64,44
22/3/2020,72,31
29/3/2020,100,20
5/4/2020,73,22
12/4/2020,75,16
19/4/2020,61,14
26/4/2020,67,13
3/5/2020,49,11
10/5/2020,45,12
